1,12301,AC,1,LB,46
2,12301,AC,5,SL-LB-UB-SL-LB,12-72-36-47-64
3,12301,AC,4,UB-LB-UB-SL,20-60-45-25
4,12301,AC,5,NA,55-31-67-22-52
5,12321,Sleeper,5,UB-LB-SU-SL-SU,18-45-38-42-40
6,12301,AC,2,NA,23-18
7,12301,AC,5,SL-SU-SL-SL-SU,66-48-68-73-39
8,12321,Sleeper,5,LB-SL-MB-LB-SL,20-75-12-57-64
9,12301,AC,4,LB-LB-SL-UB,18-51-22-55
10,12321,AC,4,SU-SU-SL-SL,17-18-63-31
11,12301,AC,4,NA,31-69-45-73
12,12321,AC,3,NA,69-12-11
13,12301,AC,3,NA,49-16-28
14,12301,AC,4,NA,53-54-11-71
15,12301,AC,3,LB-UB-LB,58-52-33
16,12301,AC,2,NA,24-68
17,12301,AC,5,LB-UB-SU-SU-LB,73-56-17-16-55
18,12301,AC,2,LB-UB,13-13
19,12301,AC,4,UB-LB-SU-SU,45-49-28-27
20,12321,AC,3,MB-SL-MB,33-56-22
21,12321,AC,4,NA,60-23-50-69
22,12321,AC,1,SL,64
23,12301,AC,4,NA,32-11-64-12
24,12321,AC,3,SL-SL-SU,73-63-12
25,12321,AC,4,SL-SU-SL-SL,55-55-71-11
26,12301,AC,5,NA,62-61-57-67-29
27,12301,AC,3,LB-SL-SL,33-34-41
28,12301,AC,2,NA,57-21
29,12321,Sleeper,5,SU-UB-MB-SU-SU,49-58-44-22-14
30,12301,AC,2,UB-UB,33-13
31,12321,AC,2,SL-MB,19-59
32,12301,AC,2,NA,61-48
33,12301,AC,5,LB-UB-LB-UB-SU,23-55-72-11-59
34,12301,AC,3,NA,35-29-45
35,12301,AC,1,NA,48
36,12301,AC,1,UB,25
37,12301,AC,3,UB-SL-LB,43-42-46
38,12321,AC,5,LB-LB-MB-MB-SL,68-18-19-30-73
39,12321,AC,4,NA,53-73-52-55
40,12301,AC,3,SL-UB-SU,62-19-18
41,12301,AC,2,NA,33-32
42,12321,AC,4,NA,50-61-57-58
43,12321,AC,3,UB-UB-UB,40-44-13
44,12301,AC,2,NA,54-57
45,12301,AC,5,SL-SL-UB-LB-LB,38-53-53-72-70
46,12301,AC,2,LB-UB,41-51
47,12321,Sleeper,4,LB-LB-MB-UB,74-57-23-43
48,12321,AC,4,NA,64-67-19-54
49,12321,Sleeper,4,SL-LB-LB-SL,61-44-71-69
50,12321,AC,1,SL,35
