1,12321,Sleeper,2,NA,33-58
2,12301,AC,2,LB-SL,47-66
3,12321,Sleeper,2,UB-SU,27-48
4,12321,Sleeper,4,NA,19-56-32-51
5,12301,AC,1,SU,43
6,12301,AC,4,SU-SL-SU-UB,25-73-41-21
7,12301,AC,3,NA,18-45-45
8,12321,Sleeper,3,UB-MB-LB,46-46-66
9,12321,Sleeper,3,NA,72-16-27
10,12321,Sleeper,2,SU-SL,34-65
11,12301,AC,1,SL,73
12,12321,AC,1,SU,26
13,12301,AC,3,SL-SU-SL,11-29-50
14,12301,AC,4,SL-SU-SL-LB,55-39-62-33
15,12301,AC,2,SL-LB,27-58
16,12321,AC,2,SL-SU,49-24
17,12321,Sleeper,5,NA,33-13-27-14-13
18,12301,AC,5,SL-UB-SL-UB-LB,57-27-70-50-58
19,12321,AC,2,NA,22-74
20,12321,Sleeper,1,NA,19
21,12321,AC,2,MB-LB,48-41
22,12321,Sleeper,1,NA,59
23,12301,AC,4,SU-LB-LB-LB,40-72-44-35
24,12321,AC,2,LB-SL,72-63
25,12301,AC,5,NA,37-13-69-25-56
26,12301,AC,3,NA,11-40-50
27,12321,AC,5,LB-SU-LB-UB-SU,61-56-65-58-51
28,12321,Sleeper,3,LB-UB-LB,68-10-69
29,12301,AC,1,NA,36
30,12301,AC,2,SU-SL,39-40
31,12301,AC,3,SU-LB-LB,46-74-34
32,12321,Sleeper,2,SL-SL,64-38
33,12321,Sleeper,5,NA,60-13-62-72-32
34,12301,AC,3,NA,52-61-65
35,12301,AC,4,UB-SL-LB-SU,48-32-11-20
36,12321,Sleeper,4,NA,70-43-46-49
37,12321,AC,4,NA,68-62-49-69
38,12301,AC,4,LB-SL-UB-SU,66-74-49-53
39,12301,AC,3,LB-UB-UB,24-50-47
40,12321,Sleeper,2,LB-MB,75-59
41,12301,AC,1,UB,55
42,12321,AC,4,SL-LB-SL-SL,38-12-67-18
43,12301,AC,1,UB,46
44,12301,AC,4,NA,24-53-19-34
45,12301,AC,4,LB-SL-SL-SU,44-37-13-56
46,12301,AC,2,UB-SL,45-46
47,12301,AC,1,SU,31
48,12321,Sleeper,1,SL,67
49,12301,AC,4,NA,10-68-55-21
50,12301,AC,3,NA,30-35-52
